State,Place_Name,Weather,Crowd_Level,Best_Time_To_Visit,Famous_For,Tourism_Type,Budget_Level
Manipur,Imphal,Pleasant,Moderate,Oct-Mar,War Memorial,City,Low
Manipur,Ukhrul,Pleasant,Low,Oct-Mar,Hill Views,Hill Station,Low
Meghalaya,Cherrapunji,Pleasant,High,Oct-May,Living Roots,Nature,Medium
Meghalaya,Mawsynram,Pleasant,Low,Oct-May,Wettest Place,Nature,Low
Meghalaya,Dawki,Pleasant,Moderate,Oct-Mar,Crystal River,Nature,Medium
Mizoram,Aizawl,Pleasant,Moderate,Oct-Mar,Capital City,City,Low
Mizoram,Reiek,Pleasant,Low,Oct-Mar,Hill Village,Hill Station,Low
Mizoram,Lunglei,Pleasant,Low,Oct-Mar,Scenic Views,Nature,Low
Nagaland,Kohima,Pleasant,Moderate,Oct-Mar,War Cemetery,Historical,Low
Nagaland,Dzukou Valley,Pleasant,Moderate,Jun-Sep,Valley of Flowers,Nature,Medium
Nagaland,Mon,Pleasant,Low,Oct-Mar,Tribal Culture,Cultural,Low
Odisha,Konark,Pleasant,High,Oct-Mar,Sun Temple,Historical,Low
Odisha,Chilika Lake,Pleasant,Moderate,Nov-Feb,Bird Sanctuary,Nature,Medium
Odisha,Bhubaneswar,Pleasant,High,Oct-Mar,Temple City,Religious,Low
Punjab,Patiala,Pleasant,Moderate,Oct-Mar,Palaces,Historical,Low
Punjab,Anandpur Sahib,Pleasant,Moderate,Oct-Mar,Sikh Heritage,Religious,Low
Punjab,Wagah Border,Pleasant,High,Oct-Mar,Beating Retreat,Patriotic,Low
Rajasthan,Jaisalmer,Pleasant,High,Oct-Mar,Golden Fort,Historical,Medium
Rajasthan,Bikaner,Pleasant,Moderate,Oct-Mar,Junagarh Fort,Historical,Low
Rajasthan,Mount Abu,Pleasant,Moderate,Oct-Mar,Hill Station,Hill Station,Medium
Sikkim,Pelling,Pleasant,Moderate,Mar-Jun,Kangchenjunga View,Hill Station,Medium
Sikkim,Lachung,Cold,Low,Apr-Jun,Snow Valley,Hill Station,Medium
Sikkim,Namchi,Pleasant,Low,Mar-Oct,Char Dham,Religious,Low
Tamil Nadu,Kodaikanal,Pleasant,High,Mar-Jun,Hill Station,Hill Station,Medium
Tamil Nadu,Rameswaram,Pleasant,High,Oct-Mar,Temple,Religious,Low
Tamil Nadu,Yercaud,Pleasant,Moderate,Oct-Jun,Shevaroy Hills,Hill Station,Low
Telangana,Warangal,Pleasant,Moderate,Oct-Feb,Kakatiya Fort,Historical,Low
Telangana,Bhadrachalam,Pleasant,High,Oct-Mar,Rama Temple,Religious,Low
Telangana,Nagarjuna Sagar,Pleasant,Moderate,Oct-Feb,Dam,Nature,Low
Tripura,Agartala,Pleasant,Moderate,Oct-Mar,Ujjayanta Palace,Historical,Low
Tripura,Unakoti,Pleasant,Low,Oct-Mar,Rock Carvings,Historical,Low
Tripura,Neermahal,Pleasant,Low,Oct-Mar,Water Palace,Historical,Low
Uttar Pradesh,Mathura,Pleasant,High,Oct-Mar,Krishna Janmabhoomi,Religious,Low
Uttar Pradesh,Ayodhya,Pleasant,High,Oct-Mar,Ram Mandir,Religious,Low
Uttar Pradesh,Prayagraj,Pleasant,High,Oct-Mar,Sangam,Religious,Low
Uttarakhand,Mussoorie,Pleasant,High,Mar-Jun,Queen of Hills,Hill Station,Medium
Uttarakhand,Auli,Cold,Moderate,Dec-Feb,Skiing,Hill Station,Medium
Uttarakhand,Haridwar,Pleasant,High,Oct-Mar,Ganga Aarti,Religious,Low
West Bengal,Kalimpong,Pleasant,Moderate,Mar-May,Hill Views,Hill Station,Medium
West Bengal,Shantiniketan,Pleasant,Moderate,Oct-Mar,Tagore University,Cultural,Low
West Bengal,Mirik,Pleasant,Low,Mar-May,Lake Town,Nature,Low
Andaman and Nicobar,Havelock Island,Pleasant,High,Oct-May,Scuba Diving,Beach,High
Andaman and Nicobar,Neil Island,Pleasant,Moderate,Oct-May,Coral Beaches,Beach,Medium
Andaman and Nicobar,Port Blair,Pleasant,High,Oct-May,Cellular Jail,Historical,Medium
Chandigarh,Rock Garden,Pleasant,High,Oct-Mar,Art Park,Cultural,Low
Chandigarh,Sukhna Lake,Pleasant,High,Oct-Mar,Lake View,Nature,Low
Chandigarh,Rose Garden,Pleasant,Moderate,Feb,Flower Festival,Nature,Low
Dadra and Nagar Haveli,Silvassa,Pleasant,Moderate,Oct-Mar,Nature Resorts,Nature,Low
Daman and Diu,Diu Fort,Pleasant,Moderate,Oct-Mar,Portuguese Fort,Historical,Low
Delhi,India Gate,Pleasant,High,Oct-Mar,War Memorial,Historical,Low
Delhi,Qutub Minar,Pleasant,High,Oct-Mar,UNESCO Site,Historical,Low
Delhi,Akshardham,Pleasant,High,Oct-Mar,Temple,Religious,Low
Jammu and Kashmir,Gulmarg,Cold,High,Dec-Feb,Ski Resort,Hill Station,High
Jammu and Kashmir,Pahalgam,Cold,Moderate,Apr-Jun,Valley Views,Hill Station,Medium
Jammu and Kashmir,Srinagar,Pleasant,High,Apr-Oct,Dal Lake,Nature,Medium
Ladakh,Pangong Lake,Cold,High,May-Sep,Blue Lake,Nature,High
Ladakh,Nubra Valley,Cold,Moderate,May-Sep,Cold Desert,Adventure,High
Ladakh,Leh,Cold,High,May-Sep,Monasteries,Cultural,Medium
Lakshadweep,Agatti Island,Pleasant,Low,Oct-Mar,Coral Reefs,Beach,High
Lakshadweep,Bangaram Island,Pleasant,Low,Oct-Mar,Luxury Beach,Beach,High
Puducherry,Auroville,Pleasant,Moderate,Oct-Mar,Spiritual Community,Spiritual,Medium
Puducherry,Promenade Beach,Pleasant,High,Oct-Mar,Sea Walk,Beach,Low
Andhra Pradesh,Visakha Museum,Pleasant,Low,Oct-Mar,Historical Museum,Cultural,Low
Andhra Pradesh,Araku Coffee Plantations,Pleasant,Moderate,Oct-Mar,Coffee Plantations,Hill Station,Medium
Andhra Pradesh,Borra Caves,Pleasant,Moderate,Oct-Mar,Stalactites & Stalagmites,Nature,Medium
Arunachal Pradesh,Sangti Valley,Cold,Low,Mar-Oct,Scenic Valley,Nature,Medium
Arunachal Pradesh,Itanagar,Pleasant,Moderate,Oct-Mar,Capital City,City,Low
Arunachal Pradesh,Mokokchung,Pleasant,Low,Apr-Oct,Tribal Culture,Cultural,Low
Assam,Majuli Island,Pleasant,Low,Oct-Mar,River Island,Cultural,Low
Assam,Haflong,Pleasant,Low,Oct-Mar,Hill Station,Hill Station,Low
Assam,Sivasagar,Pleasant,Moderate,Oct-Mar,Ahom Temples,Historical,Low
Bihar,Patna,Pleasant,High,Oct-Mar,Patna Museum,Historical,Low
Bihar,Sasaram,Pleasant,Moderate,Oct-Mar,Shahjahan Tomb,Historical,Low
Bihar,Gaya,Pleasant,High,Oct-Mar,Buddhist Sites,Religious,Low
Chhattisgarh,Raigarh,Pleasant,Low,Oct-Mar,Forts & Palaces,Historical,Low
Chhattisgarh,Bhilai,Pleasant,Moderate,Oct-Mar,Steel City,City,Low
Chhattisgarh,Kawardha,Pleasant,Low,Oct-Mar,Mahal Palace,Historical,Low
Goa,Colva Beach,Warm,Moderate,Nov-Feb,White Sand Beach,Beach,Medium
Goa,Chapora Fort,Warm,Low,Nov-Feb,Fort Views,Historical,Medium
Goa,Mandrem Beach,Warm,Low,Nov-Feb,Serene Beach,Beach,High
Gujarat,Saputara,Pleasant,Moderate,Oct-Mar,Hill Station,Hill Station,Medium
Gujarat,Junagadh,Pleasant,Moderate,Oct-Mar,Uparkot Fort,Historical,Low
Gujarat,Bhuj,Pleasant,High,Nov-Feb,Handicrafts,Cultural,Medium
Haryana,Sultanpur Bird Sanctuary,Pleasant,Low,Oct-Mar,Bird Watching,Wildlife,Low
Haryana,Pinjore Gardens,Pleasant,Moderate,Oct-Mar,Mughal Gardens,Nature,Low
Haryana,Kasauli,Pleasant,Low,Mar-Jun,Hill Views,Hill Station,Medium
Himachal Pradesh,Solang Valley,Cold,High,Dec-Feb,Adventure Sports,Adventure,Medium
Himachal Pradesh,Kullu,Pleasant,High,Oct-Mar,River Valley,Hill Station,Medium
Himachal Pradesh,Chamba,Pleasant,Low,Oct-Mar,Palaces & Temples,Historical,Medium
Jharkhand,Ranchi,Pleasant,Moderate,Oct-Mar,Waterfalls,Nature,Low
Jharkhand,Baidyanathdham,Pleasant,High,Oct-Mar,Shiva Temple,Religious,Low
Jharkhand,Netarhat,Pleasant,Low,Oct-Mar,Hill Station,Hill Station,Low
Karnataka,Coorg,Pleasant,Moderate,Oct-Mar,Coffee Plantations,Hill Station,Medium
Karnataka,Chikmagalur,Pleasant,Moderate,Oct-Mar,Hill Station,Hill Station,Medium
Karnataka,Kudremukh,Pleasant,Low,Oct-Mar,National Park,Wildlife,Medium
Kerala,Thekkady,Pleasant,Moderate,Oct-Mar,Periyar Tiger Reserve,Wildlife,Medium
Kerala,Fort Kochi,Pleasant,Moderate,Oct-Mar,Colonial Architecture,Historical,Medium
Kerala,Wayanad,Pleasant,Moderate,Oct-Mar,Tea Plantations,Hill Station,Medium
Madhya Pradesh,Orchha,Pleasant,Moderate,Oct-Mar,Palaces & Temples,Historical,Low
Madhya Pradesh,Bandhavgarh,Pleasant,Moderate,Nov-Mar,Tiger Reserve,Wildlife,Medium
Madhya Pradesh,Gwalior,Pleasant,High,Oct-Mar,Gwalior Fort,Historical,Medium
Maharashtra,Pune,Pleasant,High,Oct-Mar,City Life,City,Medium
Maharashtra,Nashik,Pleasant,Moderate,Oct-Mar,Vineyards,Nature,Medium
Maharashtra,Sindhudurg,Pleasant,Low,Nov-Feb,Fort & Beaches,Historical,Medium
Manipur,Keibul Lamjao Lake,Pleasant,Low,Oct-Mar,Floating National Park,Wildlife,Medium
Manipur,Kangla Fort,Pleasant,Moderate,Oct-Mar,Historical Fort,Historical,Low
Manipur,Seru,Pleasant,Low,Oct-Mar,Hill Views,Hill Station,Low
Meghalaya,Mawlynnong,Pleasant,Low,Oct-Mar,Cleanest Village,Cultural,Low
Meghalaya,Nongriat,Pleasant,Low,Oct-Mar,Double Decker Bridges,Nature,Low
Meghalaya,Khasi Hills,Pleasant,Moderate,Oct-Mar,Hill Station,Hill Station,Medium
Mizoram,Serchhip,Pleasant,Low,Oct-Mar,Hill Station,Hill Station,Low
Mizoram,Champhai,Pleasant,Low,Oct-Mar,Border Town,Cultural,Low
Mizoram,Hmuifang,Pleasant,Moderate,Oct-Mar,Hill Resort,Hill Station,Medium
Nagaland,Khonoma,Pleasant,Low,Oct-Mar,Angami Village,Cultural,Low
Nagaland,Kisama,Pleasant,Moderate,Dec,Tribal Festival,Cultural,Low
Nagaland,Mon District,Pleasant,Low,Oct-Mar,Scenic Villages,Hill Station,Low
Odisha,Bhubaneswar,Pleasant,High,Oct-Mar,Temple City,Religious,Low
Odisha,Chandipur,Pleasant,Low,Oct-Mar,Beach & Tides,Beach,Medium
Odisha,Sambalpur,Pleasant,Moderate,Oct-Mar,Hirakud Dam,Nature,Medium
Punjab,Ludhiana,Pleasant,Moderate,Oct-Mar,Textile Hub,City,Low
Punjab,Jalandhar,Pleasant,Moderate,Oct-Mar,Sports City,City,Low
Punjab,Patiala,Pleasant,Moderate,Oct-Mar,Palaces & Gardens,Historical,Low
Rajasthan,Chittorgarh,Pleasant,Moderate,Oct-Mar,Fort,Historical,Medium
Rajasthan,Bundi,Pleasant,Low,Oct-Mar,Palaces & Stepwells,Historical,Medium
Rajasthan,Sawai Madhopur,Pleasant,Moderate,Nov-Feb,Ranthambore Tiger Reserve,Wildlife,Medium
Sikkim,Ravangla,Pleasant,Moderate,Mar-Jun,Hill Station,Hill Station,Medium
Sikkim,Yuksom,Pleasant,Low,Mar-Jun,Himalayan Base,Hill Station,Medium
Sikkim,Temi Tea Garden,Pleasant,Low,Oct-Mar,Tea Plantation,Nature,Medium
Tamil Nadu,Chennai,Pleasant,High,Oct-Mar,Marina Beach,City,Medium
Tamil Nadu,Thanjavur,Pleasant,Moderate,Oct-Mar,Big Temple,Historical,Low
Tamil Nadu,Kanchipuram,Pleasant,High,Oct-Mar,Temple City,Religious,Low
Telangana,Nizamabad,Pleasant,Moderate,Oct-Feb,Historical Fort,Historical,Low
Telangana,Kazipet,Pleasant,Low,Oct-Feb,Railway Town,City,Low
Telangana,Medak,Pleasant,Moderate,Oct-Feb,Medak Cathedral,Historical,Low
Tripura,Teliamura,Pleasant,Low,Oct-Mar,Nature & Forests,Nature,Low
Tripura,Khowai,Pleasant,Low,Oct-Mar,Rivers & Hills,Nature,Low
Tripura,Tripura Sundari,Pleasant,High,Oct-Mar,Temple,Religious,Low
Uttar Pradesh,Meerut,Pleasant,Moderate,Oct-Mar,Historical City,Historical,Low
Uttar Pradesh,Lucknow,Pleasant,High,Oct-Mar,Heritage City,Historical,Medium
Uttar Pradesh,Jaunpur,Pleasant,Low,Oct-Mar,Temples & Monuments,Historical,Low
Uttarakhand,Ranikhet,Pleasant,Moderate,Mar-Jun,Hill Station,Hill Station,Medium
Uttarakhand,Binsar,Pleasant,Low,Mar-Jun,Wildlife Sanctuary,Nature,Medium
Uttarakhand,Almora,Pleasant,Moderate,Mar-Jun,Hill Views,Hill Station,Medium
West Bengal,Kalimpong,Pleasant,Moderate,Mar-May,Hill Station,Hill Station,Medium
West Bengal,Digha,Pleasant,High,Oct-Mar,Beach,Beach,Medium
West Bengal,Kolkata,Pleasant,High,Oct-Mar,Heritage City,City,Medium
Andaman and Nicobar,Neil Island,Pleasant,Moderate,Oct-May,Coral Beach,Beach,Medium
Andaman and Nicobar,Havelock Island,Pleasant,High,Oct-May,Scuba Diving,Beach,High
Andaman and Nicobar,Baratang Island,Pleasant,Low,Oct-Mar,Limestone Caves,Nature,Medium
Chandigarh,Chandigarh Capitol Complex,Pleasant,Moderate,Oct-Mar,Architecture,Historical,Low
Dadra and Nagar Haveli,Khadi Gramodyog,Pleasant,Low,Oct-Mar,Handicraft Village,Cultural,Low
Daman and Diu,Daman,Pleasant,Moderate,Oct-Mar,Forts,Historical,Low
Delhi,Red Fort,Pleasant,High,Oct-Mar,Historical Fort,Historical,Low
Jammu and Kashmir,Sonmarg,Cold,Moderate,May-Sep,Hill Station,Hill Station,Medium
Jammu and Kashmir,Leh Palace,Cold,Moderate,May-Sep,Historic Palace,Cultural,Medium
Ladakh,Tso Moriri Lake,Cold,Low,May-Sep,Lake Views,Nature,High
Lakshadweep,Kavaratti,Pleasant,Low,Oct-Mar,Lighthouse & Beach,Beach,High
Puducherry,Paradise Beach,Pleasant,Moderate,Oct-Mar,Beach,Beach,Medium
Puducherry,Pondicherry French Quarter,Pleasant,High,Oct-Mar,Colonial Architecture,Historical,Medium
Andhra Pradesh,Kondapalli,Pleasant,Low,Oct-Mar,Woodcraft Village,Cultural,Low
Andhra Pradesh,Nagarjuna Sagar,Pleasant,Moderate,Oct-Mar,Dam & Reservoir,Nature,Medium
Andhra Pradesh,Srisailam,Pleasant,High,Oct-Mar,Temple & Wildlife,Religious,Medium
Arunachal Pradesh,Parshuram Kund,Cold,Low,Oct-Mar,Pilgrimage Site,Religious,Low
Arunachal Pradesh,Yingkiong,Pleasant,Low,Mar-Oct,River Views,Nature,Low
Arunachal Pradesh,Ziro Plateau,Pleasant,Low,Apr-Oct,Music Festival,Cultural,Medium
Assam,Sualkuchi,Pleasant,Low,Oct-Mar,Silk Village,Cultural,Low
Assam,Hajo,Pleasant,Moderate,Oct-Mar,Pilgrimage Town,Religious,Low
Assam,Sibsagar,Pleasant,Moderate,Oct-Mar,Ahom Heritage,Historical,Low
Bihar,Vaishali,Pleasant,Low,Oct-Mar,Ancient City,Historical,Low
Bihar,Kaimur,Pleasant,Low,Oct-Mar,Waterfalls & Hills,Nature,Low
Bihar,Rohtasgarh Fort,Pleasant,Low,Oct-Mar,Fort,Historical,Low
Chhattisgarh,Bhilai Steel Plant,Pleasant,Moderate,Oct-Mar,Industrial City,City,Low
Chhattisgarh,Kanker,Pleasant,Low,Oct-Mar,Tribal Culture,Cultural,Low
Chhattisgarh,Dantewada,Pleasant,Low,Oct-Mar,Tribal Villages,Cultural,Low
Goa,Agonda Beach,Warm,Moderate,Nov-Feb,Quiet Beach,Beach,Medium
Goa,Sinquerim Beach,Warm,Moderate,Nov-Feb,Beach & Fort,Beach,Medium
Goa,Fort Aguada,Warm,High,Nov-Feb,Historical Fort,Historical,Medium
Gujarat,Lothal,Pleasant,Low,Oct-Mar,Indus Valley Site,Historical,Low
Gujarat,Pavagadh,Pleasant,Moderate,Oct-Mar,Fort & Temple,Historical,Medium
Gujarat,Velavadar,Pleasant,Low,Oct-Mar,Blackbuck Sanctuary,Wildlife,Medium
Haryana,Bhiwani,Pleasant,Low,Oct-Mar,Heritage Sites,Historical,Low
Haryana,Faridabad,Pleasant,Moderate,Oct-Mar,Industrial City,City,Low
Haryana,Karnal,Pleasant,Moderate,Oct-Mar,Historical City,Historical,Low
Himachal Pradesh,Karsog,Pleasant,Low,Apr-Jun,Valley & Temples,Hill Station,Medium
Himachal Pradesh,Basholi,Pleasant,Low,Oct-Mar,Paintings & Culture,Cultural,Low
Himachal Pradesh,Chail,Pleasant,Moderate,Mar-Jun,Palace & Hill Station,Hill Station,Medium
Jharkhand,Dhanbad,Pleasant,Moderate,Oct-Mar,Coal City,City,Low
Jharkhand,Deoghar,Pleasant,High,Oct-Mar,Baba Baidyanath Temple,Religious,Low
Jharkhand,Ramgarh,Pleasant,Low,Oct-Mar,Hill Station,Hill Station,Low
Karnataka,Badami,Pleasant,Low,Oct-Mar,Cave Temples,Historical,Low
Karnataka,Gulbarga,Pleasant,Moderate,Oct-Mar,Heritage Forts,Historical,Low
Karnataka,Raichur,Pleasant,Low,Oct-Mar,Historic Fort,Historical,Low
Kerala,Kumarakom,Pleasant,Moderate,Oct-Mar,Backwaters,Nature,Medium
Kerala,Vypin Island,Pleasant,Moderate,Oct-Mar,Lighthouse & Beach,Beach,Medium
Kerala,Periyar Tiger Reserve,Pleasant,Moderate,Oct-Mar,Wildlife Sanctuary,Wildlife,Medium
Madhya Pradesh,Rewa,Pleasant,Low,Oct-Mar,Waterfalls,Nature,Low
Madhya Pradesh,Omkareshwar,Pleasant,Moderate,Oct-Mar,Temple Town,Religious,Medium
Madhya Pradesh,Sanchi,Pleasant,Moderate,Oct-Mar,Buddhist Stupa,Historical,Medium
Maharashtra,Khandala,Pleasant,Moderate,Jun-Feb,Hill Station,Hill Station,Medium
Maharashtra,Alibaug,Pleasant,Moderate,Oct-Mar,Beaches,Beach,Medium
Maharashtra,Kolhapur,Pleasant,High,Oct-Mar,Temples & Forts,Historical,Medium
Manipur,Imphal Polo Ground,Pleasant,Moderate,Oct-Mar,Traditional Sports,Cultural,Low
Manipur,Andro Village,Pleasant,Low,Oct-Mar,Pottery Village,Cultural,Low
Manipur,Lamdong,Pleasant,Low,Oct-Mar,Hill Views,Hill Station,Low
Meghalaya,Shillong Peak,Pleasant,Moderate,Oct-Mar,Scenic View,Hill Station,Medium
Meghalaya,Wahkaji Waterfall,Pleasant,Low,Oct-Mar,Waterfall,Nature,Low
Meghalaya,Elephant Falls,Pleasant,Moderate,Oct-Mar,Waterfall,Nature,Medium
Mizoram,Tuichang,Pleasant,Low,Oct-Mar,Hill Station,Hill Station,Low
Mizoram,Saitual,Pleasant,Low,Oct-Mar,Scenic Village,Nature,Low
Mizoram,Aizawl Zoo,Pleasant,Moderate,Oct-Mar,Wildlife,Wildlife,Medium
Nagaland,Mon Town,Pleasant,Low,Oct-Mar,Tribal Culture,Cultural,Low
Nagaland,Dimapur,Pleasant,High,Oct-Mar,Market Town,City,Medium
Nagaland,Mokokchung Hill,Pleasant,Low,Oct-Mar,Hill Views,Hill Station,Medium
Odisha,Chandragiri,Pleasant,Low,Oct-Mar,Hill Temple,Religious,Low
Odisha,Paradip,Pleasant,Moderate,Oct-Mar,Port City,City,Medium
Odisha,Bhitarkanika,Pleasant,Low,Oct-Mar,Mangrove & Wildlife,Wildlife,Medium
Punjab,Fatehgarh Sahib,Pleasant,Moderate,Oct-Mar,Religious Site,Religious,Low
Punjab,Hoshiarpur,Pleasant,Low,Oct-Mar,Temples & Forts,Historical,Low
Punjab,Gurdaspur,Pleasant,Moderate,Oct-Mar,River & Fort,Nature,Low
Rajasthan,Bundi,Pleasant,Low,Oct-Mar,Palaces & Stepwells,Historical,Medium
Rajasthan,Kota,Pleasant,Moderate,Oct-Mar,Palaces,Historical,Medium
Rajasthan,Sirohi,Pleasant,Low,Oct-Mar,Fort & Hills,Hill Station,Medium
Sikkim,Yumthang,Pleasant,Moderate,Mar-Jun,Valley of Flowers,Hill Station,Medium
Sikkim,Rangpo,Pleasant,Low,Mar-Jun,River Town,Nature,Low
Sikkim,Hee-Pokhri,Pleasant,Low,Mar-Jun,Lake,Hill Station,Low
Tamil Nadu,Coonoor,Pleasant,Moderate,Mar-Jun,Hill Station,Hill Station,Medium
Tamil Nadu,Kaveri Falls,Pleasant,Moderate,Oct-Mar,Waterfall,Nature,Medium
Tamil Nadu,Velankanni,Pleasant,High,Oct-Mar,Church,Religious,Low
Telangana,Nalgonda,Pleasant,Moderate,Oct-Feb,Fort & Temple,Historical,Low
Telangana,Khammam,Pleasant,Moderate,Oct-Feb,Fort Town,Historical,Low
